kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
triad;omp;2;65536;;0.262;0.372;0.282325;9317666;4650854;1148494;26223;556769;29696
triad;hybrid;2;65536;;0.265;0.343;0.280275;9331523;4689492;1151224;26166;557449;29786
triad;omp;3;65536;;0.211;0.297;0.22705;10650008;6150981;1442542;29204;801609;32866
triad;hybrid;3;65536;;0.196;0.249;0.2103;10531148;6072085;1400978;28631;783371;32773
triad;omp;4;65536;;0.163;0.356;0.181075;11730228;7432050;1647253;30572;1013595;34988
triad;hybrid;4;65536;;0.162;0.324;0.183125;11751219;7479467;1650442;30918;1015624;34984
triad;seq;1;262144;;2.217;2.481;2.2866;29689737;16875492;3573693;57600;2144893;42719
triad;neon;1;262144;;2.222;2.515;2.29433;29744941;16942336;3574427;58168;2144206;42799
triad;omp;1;262144;;2.268;2.454;2.3186;24187828;10095725;2389333;49855;1025308;35810
triad;hybrid;1;262144;;2.270;2.503;2.33767;24307207;10264917;2402091;50535;1028317;36116
triad;omp;2;262144;;1.283;1.502;1.344;27055089;12817464;2876220;56691;1466276;39989
triad;hybrid;2;262144;;1.272;1.493;1.3385;27042920;12946164;2876253;55968;1465144;40043
triad;omp;3;262144;;1.064;1.249;1.12665;30088809;15744957;3476102;63264;1945067;43665
triad;hybrid;3;262144;;0.976;1.179;1.0428;29825871;15818742;3380935;59315;1935179;43809
triad;omp;4;262144;;0.853;1.055;0.911025;32748363;18697739;3903312;62439;2433475;46448
triad;hybrid;4;262144;;0.860;1.086;0.9196;32749974;18834388;3904219;61947;2434196;46265
triad;seq;1;1048576;;8.990;9.476;9.18025;95109125;44871649;9753668;183093;4987346;81796
triad;neon;1;1048576;;9.021;9.372;9.16055;94960747;45034447;9733284;182031;4972108;81673
triad;omp;1;1048576;;9.024;9.407;9.1797;88211241;37489504;8456595;168370;3759061;75440
triad;hybrid;1;1048576;;9.069;9.313;9.17137;88262974;37997351;8451557;168150;3759314;75282
triad;omp;2;1048576;;5.062;5.311;5.1511;92869960;41182981;9093603;176847;4370762;79551
triad;hybrid;2;1048576;;5.076;5.320;5.15977;92914194;41681943;9091978;177657;4364349;79503
triad;omp;3;1048576;;4.218;4.519;4.3446;99513926;46051086;10280006;199480;5170045;84330
triad;hybrid;3;1048576;;3.848;4.070;3.95515;98031044;45694799;9779406;184181;5025287;83159
triad;omp;4;1048576;;3.270;3.626;3.4278;103766891;49676738;10560873;188535;5772804;87105
triad;hybrid;4;1048576;;3.278;3.619;3.41882;103849372;50283813;10573869;188005;5787363;87135
triad;seq;1;4194304;;35.969;37.508;36.3179;354351975;156915963;34502403;643665;16328180;242646
triad;neon;1;4194304;;35.992;36.593;36.2891;354630822;158137382;34523614;641993;16361969;241923
triad;omp;1;4194304;;35.463;36.206;35.7379;342220501;147507911;32848111;579627;14716090;240402
triad;hybrid;1;4194304;;35.536;36.841;35.8336;342318250;149606898;32848809;578262;14716413;239552
triad;omp;2;4194304;;20.199;20.559;20.3449;352983431;152102980;33620294;628186;15488735;245201
triad;hybrid;2;4194304;;20.227;20.586;20.365;353193599;154302760;33636598;626185;15507255;244883
triad;omp;3;4194304;;16.787;17.217;17.0176;370880982;160031741;36367241;710035;16782869;251894
triad;hybrid;3;4194304;;15.166;15.617;15.3809;365600626;159846363;34583458;639828;16406795;250545
triad;omp;4;4194304;;12.915;13.287;13.0748;379365155;163429480;35571211;650008;17360135;255964
triad;hybrid;4;4194304;;12.932;13.363;13.0735;379553042;165663630;35594092;645505;17386508;255910
triad;seq;1;16777216;;141.355;147.237;143.655;1378939765;599655871;132730131;2358471;60646247;891537
triad;neon;1;16777216;;141.912;147.767;144.059;1379108563;603071221;132602629;2376073;60519404;891344
triad;omp;1;16777216;;142.614;144.759;143.556;1355715299;588655900;130742228;2127676;58593834;916621
triad;hybrid;1;16777216;;142.963;144.050;143.413;1355396101;597044822;130753205;2076502;58625328;914769
triad;omp;2;16777216;;78.157;82.505;79.3241;1382870199;594357974;131653342;2208783;59610300;922903
triad;hybrid;2;16777216;;78.439;82.076;79.3436;1383395951;602527614;131612706;2223478;59558286;922131
triad;omp;3;16777216;;64.465;67.376;66.0502;1436302461;602205653;138592113;2620493;60800338;934551
triad;hybrid;3;16777216;;59.571;60.951;60.2813;1419679359;609572078;132812519;2334370;60632543;932270
triad;omp;4;16777216;;50.013;51.799;51.2856;1464550931;609635603;134301191;2383961;62095813;941361
triad;hybrid;4;16777216;;50.372;54.150;51.5656;1465285015;617665355;134242280;2398568;62040362;940447
matmul;seq;1;16;;0.020;0.024;0.021125;4063774;2678313;713296;17684;377240;26737
matmul;neon;1;16;;0.022;0.025;0.023125;4052725;2673589;712379;17690;376171;26709
matmul;omp;1;16;;0.028;0.061;0.0294;2509574;1101202;413464;13271;120384;21366
matmul;hybrid;1;16;;0.029;0.031;0.029775;2499427;1101463;413796;13136;120366;21471
matmul;omp;2;16;;0.015;0.017;0.015925;3069033;1501706;494960;15491;183814;23666
matmul;hybrid;2;16;;0.016;0.075;0.01785;3102676;1555733;504346;15396;192527;23600
matmul;omp;3;16;;0.018;0.023;0.01865;3667800;2117392;616707;17408;282818;26085
matmul;hybrid;3;16;;0.018;0.020;0.018875;3617499;2075838;608546;17138;276308;25934
matmul;omp;4;16;;0.018;0.020;0.018875;4314492;2799113;747759;19329;393422;28639
matmul;hybrid;4;16;;0.019;0.022;0.0196;4316844;2829331;750054;19191;398717;28557
matmul;seq;1;32;;0.079;0.312;0.086875;4597678;3309220;849964;18014;479609;26908
matmul;neon;1;32;;0.097;0.171;0.09975;4680834;3407740;863755;17825;494218;26846
matmul;omp;1;32;;0.094;0.124;0.096625;2706410;1226253;465409;13571;136758;21564
matmul;hybrid;1;32;;0.109;0.136;0.11055;2727482;1230856;465903;13556;136251;21598
matmul;omp;2;32;;0.052;0.054;0.05295;3319779;1703542;559678;15728;213170;23825
matmul;hybrid;2;32;;0.059;0.062;0.059925;3339507;1708645;559803;15699;212899;23904
matmul;omp;3;32;;0.041;0.049;0.0421;3991566;2411676;696775;18045;327822;26499
matmul;hybrid;3;32;;0.046;0.076;0.048675;4000633;2359459;688294;18145;317505;26536
matmul;omp;4;32;;0.035;0.037;0.036075;4632813;3119006;829573;19707;443108;28858
matmul;hybrid;4;32;;0.039;0.043;0.040525;4699810;3194268;840635;19909;454408;28823
matmul;seq;1;64;;0.520;0.658;0.530075;7851359;7275492;1726682;20369;1129346;32539
matmul;neon;1;64;;0.673;0.810;0.687975;8620820;8166070;1866391;20757;1263724;32903
matmul;omp;1;64;;0.555;0.681;0.5683;3698743;1879117;781328;16057;229252;26607
matmul;hybrid;1;64;;0.697;0.813;0.706025;3888818;1924521;781770;15708;226482;26589
matmul;omp;2;64;;0.290;0.359;0.3025;4557944;2662144;929449;18587;356309;29412
matmul;hybrid;2;64;;0.361;0.531;0.375675;4741333;2692639;928549;18292;350908;29481
matmul;omp;3;64;;0.199;0.423;0.21675;5346630;3585280;1101404;20034;506983;31808
matmul;hybrid;3;64;;0.249;0.341;0.26145;5504520;3542061;1087705;20316;489063;31890
matmul;omp;4;64;;0.163;0.339;0.184525;6349154;4717489;1309044;22432;692114;34808
matmul;hybrid;4;64;;0.200;0.300;0.212525;6491599;4674583;1296276;22509;674548;34895
matmul;seq;1;128;;3.809;4.024;3.85295;14416801;12037919;4065967;49250;1878529;49109
matmul;neon;1;128;;5.017;5.240;5.06943;16016719;12548303;4063691;48722;1865363;49005
matmul;omp;1;128;;3.877;4.015;3.91043;9690124;5894183;2972592;43540;831773;42642
matmul;hybrid;1;128;;5.081;5.256;5.13435;11293396;6333856;2974128;43447;820532;42885
matmul;omp;2;128;;1.985;2.143;2.0244;11311202;7656357;3293205;45704;1120247;45863
matmul;hybrid;2;128;;2.597;2.700;2.62848;12902650;8049155;3284991;45371;1100946;45789
matmul;omp;3;128;;1.346;1.564;1.38247;12817727;9534602;3616513;48230;1431052;48046
matmul;hybrid;3;128;;1.779;1.961;1.81815;14528938;9959445;3629859;48687;1414307;48834
matmul;omp;4;128;;1.074;1.281;1.11603;14686552;11595979;4002861;51042;1766789;52335
matmul;hybrid;4;128;;1.375;1.823;1.44548;16429137;12190557;4030558;51096;1781165;52480
matmul;seq;1;256;;28.482;28.770;28.6482;53589484;38732241;20217416;161258;6144432;114239
matmul;neon;1;256;;38.091;38.573;38.2402;66320536;42875761;20215459;155497;6092212;114361
matmul;omp;1;256;;28.783;29.066;28.892;48887897;33026370;19100013;152912;5083196;107415
matmul;hybrid;1;256;;38.329;38.622;38.4965;61744165;36895644;19111020;149707;5036956;107802
matmul;omp;2;256;;14.730;15.059;14.8593;52419219;36725882;19779159;153216;5684729;112590
matmul;hybrid;2;256;;19.530;19.883;19.6249;65067046;40425875;19756211;153526;5614923;112760
matmul;omp;3;256;;9.926;10.211;10.0625;55293898;40220510;20353616;153623;6268853;115135
matmul;hybrid;3;256;;13.236;13.537;13.3271;68313033;44134912;20427055;156211;6222287;117607
matmul;omp;4;256;;7.838;8.219;7.93487;59331106;43983720;21085792;158254;6878184;121312
matmul;hybrid;4;256;;10.221;10.424;10.303;72126946;48015315;21123063;159814;6861318;122239
matmul;seq;1;512;;229.664;238.938;233.799;350757235;233103486;143405967;594781;37822905;364273
matmul;neon;1;512;;305.339;313.854;309.296;451409218;266605272;143435950;600202;37634542;364255
matmul;omp;1;512;;229.523;236.776;233.391;344986444;229436776;142258493;588827;36745564;356078
matmul;hybrid;1;512;;306.262;311.086;308.379;444991221;261612948;142281382;592064;36557299;356995
matmul;omp;2;512;;119.432;123.501;121.356;359516507;234794293;143360059;592639;37571454;366536
matmul;hybrid;2;512;;156.027;161.856;158.091;457518867;266680584;143320751;606051;37349290;366874
matmul;omp;3;512;;79.974;84.213;82.1171;366778241;239107857;143940305;593182;38333716;366551
matmul;hybrid;3;512;;104.784;108.850;106.827;465138069;272843773;144526249;613894;38330930;375731
matmul;omp;4;512;;63.652;67.762;65.2917;388018791;244411640;145229376;606647;39149934;385493
matmul;hybrid;4;512;;80.927;85.430;83.1064;482956143;276559151;145243811;623548;38959142;386551
fir;seq;1;1024;16;0.054;0.105;0.055925;4377004;3049096;787634;17970;435443;26861
fir;neon;1;1024;16;0.059;0.118;0.061025;4376114;3052507;785624;17863;434996;26733
fir;omp;1;1024;16;0.064;0.066;0.0647;2589140;1156049;434731;13242;126433;21292
fir;hybrid;1;1024;16;0.069;0.154;0.07155;2610460;1164006;435616;13364;126711;21397
fir;omp;2;1024;16;0.032;0.034;0.03305;3209787;1592315;523980;15780;195547;23815
fir;hybrid;2;1024;16;0.034;0.036;0.035125;3230817;1641071;530638;15726;202792;23771
