kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
dot;hybrid;3;16777216;;26.022;27.443;26.8744;2098881895;1146253583;405311228;1748873;154473834;621017
dot;omp;4;16777216;;25.750;27.101;26.3244;2143950286;1220635236;423364323;1800470;159911929;628798
dot;hybrid;4;16777216;;20.932;22.319;22.015;2120319596;1153034158;406499619;1756276;155637834;626541
triad;seq;1;1024;;0.010;0.011;0.0102667;4133378;2686392;712166;18279;376890;26766
triad;neon;1;1024;;0.004;0.004;0.004;4064535;2595028;696558;18253;361445;26746
triad;omp;2;1024;;0.008;0.009;0.00806667;3142499;1528877;497219;15914;187029;23603
triad;hybrid;2;1024;;0.005;0.013;0.00526667;3176445;1578424;505107;15969;195174;23647
triad;omp;3;1024;;0.007;0.008;0.00706667;3680268;2020377;597264;18142;265506;26149
triad;hybrid;3;1024;;0.005;0.005;0.005;3694005;2063108;604339;18066;272867;26233
triad;omp;4;1024;;0.006;0.006;0.006;4322137;2783894;738164;19388;390400;28254
triad;hybrid;4;1024;;0.004;0.005;0.0045;4314581;2773130;736068;19503;388503;28395
triad;seq;1;2048;;0.024;0.027;0.0248;4262632;2773911;730968;18567;388821;27038
triad;neon;1;2048;;0.010;0.012;0.0112667;4291353;2810066;735244;18664;394941;27042
triad;omp;2;2048;;0.014;0.025;0.0156333;3245770;1551490;504698;16401;188407;23830
triad;hybrid;2;2048;;0.011;0.040;0.0121333;3239225;1562771;505530;16275;190301;23957
triad;omp;3;2048;;0.014;0.029;0.0157667;3830309;2159978;623951;18249;286364;26200
triad;hybrid;3;2048;;0.010;0.024;0.0113;3821455;2162742;622162;18156;286944;26294
triad;omp;4;2048;;0.012;0.142;0.0176;4523471;2916950;766767;20106;409412;28854
triad;hybrid;4;2048;;0.008;0.027;0.0110667;4477687;2864706;756743;20188;401012;28987
triad;seq;1;4096;;0.050;0.301;0.0638667;4587571;3044240;781550;19131;429073;27180
triad;neon;1;4096;;0.023;0.072;0.0256667;4406041;2810473;735291;18834;391035;27071
triad;omp;2;4096;;0.027;0.039;0.0286667;3439522;1666181;526804;16752;203127;23863
triad;hybrid;2;4096;;0.013;0.017;0.0142333;3425854;1640607;520342;16714;198636;24044
triad;omp;3;4096;;0.020;0.034;0.0218667;4007739;2247631;641494;18412;296526;26250
triad;hybrid;3;4096;;0.012;0.124;0.0189;3982609;2201693;631824;18559;288608;26506
triad;omp;4;4096;;0.016;0.019;0.0171;4719803;3029399;788590;20189;423998;29065
triad;hybrid;4;4096;;0.010;0.027;0.0134667;4671895;2983247;776419;20149;416398;28935
triad;seq;1;8192;;0.106;0.111;0.107433;5650435;4233111;987932;19987;617912;27497
triad;neon;1;8192;;0.051;0.055;0.0529333;4931352;3208184;810948;19778;447638;27517
triad;omp;2;8192;;0.052;0.067;0.0570667;3821847;1843375;568050;17390;222802;24221
triad;hybrid;2;8192;;0.026;0.040;0.0309333;3783506;1811722;556516;17282;217655;24430
triad;omp;3;8192;;0.038;0.053;0.0421667;4410748;2401119;679861;19531;312008;26794
triad;hybrid;3;8192;;0.019;0.047;0.0293667;4370842;2450671;679047;19258;320967;26619
triad;omp;4;8192;;0.029;0.042;0.0305667;5137992;3243210;835183;21070;449874;29209
triad;hybrid;4;8192;;0.016;0.076;0.0204667;4978075;3065193;796006;20957;420702;29328
triad;seq;1;16384;;0.209;0.343;0.216133;6396918;4528650;1060200;21678;647448;28233
triad;neon;1;16384;;0.100;0.105;0.102067;5787741;3771077;917369;20862;522788;28027
triad;omp;2;16384;;0.106;0.165;0.112067;4619027;2210197;653334;19116;263818;24901
triad;hybrid;2;16384;;0.053;0.070;0.0586;4493431;2134561;625051;18720;251813;24898
triad;omp;3;16384;;0.076;0.089;0.0818333;5224742;2814661;770223;20955;361179;27321
triad;hybrid;3;16384;;0.039;0.164;0.0471333;5091010;2737408;742434;20832;349299;27453
triad;omp;4;16384;;0.058;0.080;0.0670333;5958919;3650365;924876;22630;498026;29868
triad;hybrid;4;16384;;0.036;0.057;0.0434333;5797783;3493535;884275;22784;472103;30200
triad;seq;1;32768;;0.429;0.510;0.442367;9417207;7288418;1574540;25489;1066217;30613
triad;neon;1;32768;;0.212;0.303;0.221233;8186499;5771262;1287815;23735;816715;30246
triad;omp;2;32768;;0.223;0.546;0.2446;6501832;3268520;883725;22535;398709;27279
triad;hybrid;2;32768;;0.118;0.142;0.1277;6145274;3026657;809340;21537;360108;27116
triad;omp;3;32768;;0.152;0.584;0.172733;7353802;4249006;1064098;24058;558146;30140
triad;hybrid;3;32768;;0.088;0.263;0.102667;7109313;4035781;998317;24135;523533;30473
